"region","crimes","area","population"
"Адыгея",16,7792,453052
"Алтай",30,92903,218039
"Алтайский край",196,167996,2350361
"Амурская область",111,361908,798003
"Архангельская область",134,589913,1154856
"Астраханская область",60,49024,1017052
"Башкортостан",320,142947,4063676
"Белгородская область",67,27134,1550026
"Брянская область",63,34857,1210912
"Бурятия",247,351334,984870
"Владимирская область",111,29084,1378528
"Волгоградская область",107,112877,2520516
"Вологодская область",86,144527,1176678
"Воронежская область",118,52216,2345520
"Дагестан",104,50270,3064394
"Еврейская АО",37,36271,162099
"Забайкальский край",209,431892,1072579
"Ивановская область",64,21437,1014620
"Ингушетия",16,3628,487836
"Иркутская область",328,774846,2403643
"Кабардино-Балкария",25,12470,865916
"Калининградская область",59,15125,994708
"Калмыкия",28,74731,275390
"Калужская область",70,29777,1011069
"Камчатский край",34,464275,314420
"Карачаево-Черкесия",26,14277,466056
"Карелия",63,180520,622433
"Кемеровская область",298,95725,2695028
"Кировская область",93,120374,1283400
"Коми",118,416774,840788
"Костромская область",29,60211,643330
"Краснодарский край",280,75485,5600893
"Красноярский край",338,2366797,2876360
"Крым",102,26081,1913989
"Курганская область",95,71488,845597
"Курская область",53,29997,1116021
"Ленинградская область",172,83908,1813677
"Липецкая область",61,24047,1150630
"Магаданская область",35,462464,144375
"Марий Эл",48,23375,682202
"Мордовия",41,26128,803726
"Москва",351,2561,12500123
"Московская область",507,44329,7504339
"Мурманская область",52,144902,753226
"Ненецкий АО",7,176810,44058
"Нижегородская область",219,76624,3234676
"Новгородская область",69,54501,606305
"Новосибирская область",251,177756,2789095
"Омская область",122,141140,1959622
"Оренбургская область",156,123702,1977445
"Орловская область",42,24652,747034
"Пензенская область",50,43352,1331621
"Пермский край",220,160236,2623155
"Приморский край",204,164673,1912118
"Псковская область",44,55399,636240
"Ростовская область",204,100967,4219732
"Рязанская область",60,39605,1121316
"Самарская область",159,53565,3193189
"Санкт-Петербург",212,1403,5356755
"Саратовская область",111,101240,2463223
"Саха (Якутия)",143,3083523,964252
"Сахалинская область",57,87101,490595
"Свердловская область",401,194307,4325318
"Севастополь",16,864,436463
"Северная Осетия — Алания",34,7987,701940
"Смоленская область",67,49779,949250
"Ставропольский край",132,66160,2799951
"Тамбовская область",49,34462,1034269
"Татарстан",284,67847,3893756
"Тверская область",97,84201,1283754
"Томская область",90,314391,1077896
"Тульская область",108,25679,1492018
"Тыва",112,168604,321597
"Тюменская область",117,1464173,3691802
"Удмуртия",117,42061,1513288
"Ульяновская область",94,37181,1246289
"Хабаровский край",178,787633,1327670
"Хакасия",89,61569,537404
"Ханты-Мансийский АО — Югра",99,534801,1654942
"Челябинская область",327,88529,3492740
"Чечня",26,15647,1435733
"Чувашия",73,18343,1230479
"Чукотский АО",14,721481,48895
"Ямало-Ненецкий АО",57,769250,538026
"Ярославская область",79,36177,1265247
